token_name;club_or_organisation_name
ACM8538-USD;AC Milan Fan Token
ADANA-USD;Adanaspor Fan Token
AFC11532-USD;Arsenal Fan Token
AFYON-USD;Afyonspor Fan Token
ALA12649-USD;Alanyaspor Fan Token
ALL-USD;Alliance Fan Token
ALPINE-USD;Alpine F1 Team Fan Token
AM-USD;Aston Martin Cognizant Fan Token
APL-USD;Apollon Limassol
ARG-USD;Argentine Football Association Fan Token
ASR-USD;AS Roma Fan Token
ATM-USD;Atletico De Madrid Fan Token
AVL-USD;Aston Villa Fan Token
BAR-USD;FC Barcelona Fan Token
BDRM-USD;Bodrumspor Fan Token
BFT-USD;Brazil National Football Team Fan Token
BKN-USD;Baskonia Fan Token
CAI-USD;Club Atletico Independiente
CITY10049-USD;Manchester City Fan Token
DAFT22523-USD;Deportivo Alaves Fan Token
DAVIS-USD;Davis Cup Fan Token
DZG-USD;Dinamo Zagreb Fan Token
EFC-USD;Everton Fan Token
ENFT-USD;RCD Espanyol Fan Token
FB11308-USD;Fenerbahce Token
FKSK-USD;Fatih Karagumruk SK Fan Token
FOR9510-USD;Fortuna Sittard Fan Token
FPFT-USD;Peruvian National Football Team Fan Token
GAL-USD;Galatasaray Fan Token
GALO-USD;Clube Atletico Mineiro Fan Token
GBSK-USD;Genclerbirligi Fan Token
GOZ-USD;Goztepe S.K. Fan Token
IBFK-USD;Istanbul Basaksehir FK Fan Token
INTER-USD;Inter Milan Fan Token
ITA-USD;Italian National Football Team Fan Token
JUV-USD;Juventus Fan Token
KSTT-USD;Kocaelispor Fan Token
LAZIO-USD;S.S. Lazio Fan Token
LEG-USD;Legia Warsaw Fan Token
LEV-USD;Levante U.D. Fan Token
LUFC-USD;Leeds United Fan Token
MCL-USD;McLaren F1 Fan Token
MENGO-USD;Flamengo Fan Token
MFC16913-USD;Millonarios FC Fan Token
MGPT-USD;MotoGP Fan Token
MIBR-USD;MIBR Fan Token
MXGP-USD;MXGP Fan Token
NAP-USD;Napoli Fan Token
NAVI-USD;Natus Vincere Fan Token
NOV-USD;Novara Calcio Fan Token
OG-USD;OG Fan Token
PFL-USD;Professional Fighters League Fan Token
POR-USD;Portugal National Team Fan Token
PORTO-USD;FC Porto Fan Token
PSG-USD;Paris Saint-Germain Fan Token
RFT-USD;Rangers Fan Token
ROUSH-USD;Roush Fenway Racing Fan Token
SAM14020-USD;Samsunspor Fan Token
SANTOS-USD;Santos FC Fan Token
SAUBER-USD;Alfa Romeo Racing ORLEN Fan Token
SCCP-USD;S.C. Corinthians Fan Token
SION-USD;FC Sion Fan Token
SNFT-USD;Spain National Fan Token
SPFC-USD;Sao Paulo FC Fan Token
STV-USD;Sint-Truidense Voetbalvereniging Fan Token
TBFT-USD;Turkish Basketball Federation Fan Token
TH-USD;Team Heretics Fan Token
TMFT-USD;Turkiye Motosiklet Federasyonu Fan Token
TMSH-USD;Bursaspor Fan Token
TRA-USD;Trabzonspor Fan Token
UCH-USD;Universidad de Chile Fan Token
UFC11533-USD;UFC Fan Token
VATRENI-USD;Croatian FF Fan Token
VCF-USD;Valencia CF Fan Token
VIT-USD;Team Vitality Fan Token
YBO-USD;Young Boys Fan Token
